Key,ADM2_PCODE,District,Tot_Count,Urban_Count,Rural_Count
1,RW57,Bugesera,361914,28786,333128
2,RW44,Burera,336582,6205,330377
3,RW42,Gakenke,338234,9347,328887
4,RW12,Gasabo,529561,365371,164190
5,RW53,Gatsibo,433020,23914,409106
6,RW45,Gicumbi,395606,34544,361062
7,RW22,Gisagara,322506,5011,317495
8,RW24,Huye,328398,52768,275630
9,RW28,Kamonyi,340501,39035,301466
10,RW31,Karongi,331808,22756,309052
11,RW54,Kayonza,344157,34008,310149
12,RW13,Kicukiro,318564,279941,38623
13,RW55,Kirehe,340368,10083,330285
14,RW27,Muhanga,319141,50608,268533
15,RW43,Musanze,368267,102082,266185
16,RW56,Ngoma,336928,15236,321692
17,RW35,Ngororero,333713,12245,321468
18,RW34,Nyabihu,294740,40673,254067
19,RW52,Nyagatare,465855,47480,418375
20,RW25,Nyamagabe,341491,24946,316545
21,RW37,Nyamasheke,381804,6137,375667
22,RW21,Nyanza,323719,25417,298302
23,RW11,Nyarugenge,284561,214020,70541
24,RW23,Nyaruguru,294334,5922,288412
25,RW33,Rubavu,403662,149209,254453
26,RW26,Ruhango,319885,26059,293826
27,RW41,Rulindo,287681,8630,279051
28,RW36,Rusizi,400858,63258,337600
29,RW32,Rutsiro,324654,7034,317620
30,RW51,Rwamagana,313461,26959,286502
